employee_id,review_period,score,promoted,manager_notes_tag
1,2022-H1,3.0,False,Struggling
1,2022-H2,2.8,False,Struggling
1,2023-H1,3.1,False,Struggling
1,2023-H2,3.1,False,Struggling
1,2024-H1,2.9,False,Struggling
1,2024-H2,3.2,False,Struggling
1,2025-H1,3.0,False,Struggling
1,2025-H2,3.0,False,Struggling
1,2026-H1,3.0,False,Struggling
2,2022-H2,4.7,False,Star
2,2023-H1,4.8,False,Star
2,2023-H2,5.0,True,Star
2,2024-H1,4.7,False,Star
2,2024-H2,4.9,False,Star
2,2025-H1,4.6,False,Star
2,2025-H2,4.7,False,Star
2,2026-H1,5.0,False,Star
3,2022-H1,2.9,False,Struggling
3,2022-H2,3.2,False,Struggling
4,2024-H2,4.8,True,Star
4,2025-H1,4.5,False,Star
4,2025-H2,4.3,False,Reliable
4,2026-H1,4.4,False,Reliable
5,2026-H1,1.9,False,At-Risk
6,2022-H1,3.4,False,Struggling
6,2022-H2,3.6,False,Reliable
6,2023-H1,3.3,False,Struggling
6,2023-H2,3.5,False,Reliable
6,2024-H1,3.1,False,Struggling
6,2024-H2,3.3,False,Struggling
6,2025-H1,3.2,False,Struggling
6,2025-H2,3.2,False,Struggling
6,2026-H1,3.2,False,Struggling
7,2024-H1,1.4,False,At-Risk
8,2025-H2,2.4,False,At-Risk
8,2026-H1,2.3,False,At-Risk
9,2023-H1,2.8,False,Struggling
9,2023-H2,3.7,False,Reliable
10,2024-H1,3.0,False,Struggling
10,2024-H2,2.6,False,Struggling
10,2025-H1,1.8,False,At-Risk
10,2025-H2,1.9,False,At-Risk
11,2022-H1,3.7,False,Reliable
11,2022-H2,3.6,False,Reliable
11,2023-H1,3.6,False,Reliable
11,2023-H2,3.9,False,Reliable
11,2024-H1,4.0,False,Reliable
11,2024-H2,3.7,False,Reliable
11,2025-H1,4.1,False,Reliable
11,2025-H2,3.6,False,Reliable
11,2026-H1,3.9,False,Reliable
12,2025-H1,5.0,False,Star
12,2025-H2,4.6,False,Star
